,Builder Name,City,Locality,Property Type,Price in Crores,Area in Sqft,Construction Status,Age of property
0,Theme Ambience InfrastructuresBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.5,2090,Under Construction,Possession by Dec 2024
1,Elemental RealtyBUILDER0,Hyderabad,Patancheru,4 BHK Villa ,1.48,1930,Under Construction,Possession by Nov 2024
2,R V Nirmaan Private LimitedBUILDER0,Hyderabad,Miyapur,3 BHK Apartment ,1.27,1967,Under Construction,Possession by Nov 2024
3,Risinia BuildersBUILDER0,Hyderabad,Pragathi Nagar Kukatpally,2 BHK Apartment ,0.7345,1312,Under Construction,Possession by May 2025
4,Cyber City OrianaBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.28,1480,Under Construction,Possession by Nov 2025
5,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.46,2005,Under Construction,Possession by Nov 2024
6,Jain ConstructionsBUILDER0,Hyderabad,Malkajgiri,3 BHK Apartment ,1.63,2245,Under Construction,Possession by Nov 2023
7,Ira RealityBUILDER0,Hyderabad,Adibatla,4 BHK Villa ,3.14,3705,Under Construction,Possession by Dec 2025
8,Hallmark BuildersBUILDER0,Hyderabad,Patighanpur,3 BHK Apartment ,1.13,1885,Under Construction,Possession by Nov 2025
9,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.08,3400,Under Construction,Possession by Nov 2024
10,Grenstone InfraBUILDER0,Hyderabad,Maheshwaram,4 BHK Villa ,1.4,2701,Under Construction,Possession by Nov 2024
11,Mahaveer GroupBUILDER0,Hyderabad,Attapur,4 BHK Apartment ,3.52,4706,Under Construction,Possession by Feb 2026
12,Beyond NatureBUILDER0,Hyderabad,Sadashivpet,Residential Plot ,0.63,3150,New,Possession by Feb 2024
13,Vasavi GroupBUILDER0,Hyderabad,Jeedimetla,3 BHK Apartment ,1.08,1965,Under Construction,Possession by Nov 2025
14,ASBLBUILDER0,Hyderabad,Nanakramguda,3 BHK Apartment ,1.58,1870,Under Construction,Possession by Nov 2026
15,Om Sree Builders DevelopersBUILDER0,Hyderabad,Gundlapochampally,3 BHK Apartment ,1.21,1935,Under Construction,Possession by May 2027
16,SVC ConstructionsBUILDER0,Hyderabad,Jeedimetla,3 BHK Apartment ,1.02,1902,Under Construction,Possession by Nov 2024
17,Om Sree Builders And DevelopersBUILDER0,Hyderabad,Yapral,3 BHK Apartment ,1.69,2780,Ready to move,0 - 1 year old
